credit_card_num,card_type,expire_month,expire_year,security_code,Owner_email
5031-2233-4388-0682,Master ,11,2025,802,o5mrsfw0@nittybiz.com
5550-5460-0617-4004,Master ,3,2029,697,nnukvpgk@nittybiz.com
5419-0905-3558-0540,Master ,6,2030,849,kjvt7svt@nittybiz.com
5245-6701-8180-6247,Master ,1,2027,789,t5fzd0p8@nittybiz.com
5056-6156-7562-3421,Master ,7,2029,925,yp4b4dyi@nittybiz.com
5631-4760-0263-3883,Master ,7,2028,117,4e3hab4v@nittybiz.com
5574-1926-2512-5446,Master ,6,2028,27,ivdzignu@nittybiz.com
5368-3725-1968-1500,Master ,7,2029,739,n1mypyyo@nittybiz.com
5377-8247-5159-2201,Master ,12,2031,544,gsxidlwx@nittybiz.com
5280-8979-7289-7714,Master ,11,2032,668,aup4qq55@nittybiz.com
5484-9857-3178-4009,Master ,8,2031,941,tm1ew4vp@nittybiz.com
5632-5232-1034-1671,Master ,10,2029,723,0zoen0kf@nittybiz.com
5680-4280-2395-6245,Master ,3,2032,855,f14eglmi@nittybiz.com
5865-4094-9306-8958,Master ,11,2023,731,c615olop@nittybiz.com
5287-1629-3504-2097,Master ,6,2023,276,qgkruapd@nittybiz.com
5287-8848-9539-2434,Master ,8,2030,421,4vuelph3@nittybiz.com
5351-7119-3683-1149,Master ,3,2024,669,zyigu8z3@nittybiz.com
5678-1373-8697-8650,Master ,12,2025,329,83pdrc81@nittybiz.com
5875-0993-8092-1827,Master ,11,2027,34,03a5v8cw@nittybiz.com
5130-8598-4809-1805,Master ,11,2025,766,0rgyjywm@nittybiz.com
5425-0527-4559-8498,Master ,2,2032,834,8flue010@nittybiz.com
5771-8710-0557-7664,Master ,4,2028,335,qzse01dn@nittybiz.com
5235-3212-3647-2734,Master ,1,2028,693,tkxmybp3@nittybiz.com
5689-9195-2204-9805,Master ,5,2025,607,b3ru2xoj@nittybiz.com
5233-8621-0846-1878,Master ,12,2031,875,ehp5jbq3@nittybiz.com
5154-8345-3282-4549,Master ,3,2030,985,xyidyrgj@nittybiz.com
5657-7989-9810-8873,Master ,10,2029,675,6fdovzd1@nittybiz.com
