Order_ID,Seller_Email,Listing_ID,Buyer_Email,Date,Quantity,Payment
511,0tn7yl00@nittybiz.com,197,o5mrsfw0@nittybiz.com,2005/5/21,1,3400
587,ohr19i5c@nittybiz.com,193,nnukvpgk@nittybiz.com,2005/5/22,1,70
600,7mxmften@nittybiz.com,927,kjvt7svt@nittybiz.com,2011/11/22,1,289
111,yrqja0yj@nittybiz.com,1773,t5fzd0p8@nittybiz.com,2011/11/23,2,240
120,48pwkn2e@nittybiz.com,1173,yp4b4dyi@nittybiz.com,2003/7/23,2,150
152,iru20l7f@nittybiz.com,2257,4e3hab4v@nittybiz.com,2003/7/24,3,315
167,o9mxgnga@nittybiz.com,2517,ivdzignu@nittybiz.com,2001/12/21,1,300
171,jzrfg66w@nittybiz.com,363,n1mypyyo@nittybiz.com,2001/12/22,1,4890
222,89r68iu6@nittybiz.com,864,gsxidlwx@nittybiz.com,2001/12/23,1,1200
221,t8izmlk3@nittybiz.com,999,aup4qq55@nittybiz.com,2003/2/21,4,1600
230,b3bk2v5h@nittybiz.com,1176,tm1ew4vp@nittybiz.com,2004/1/22,1,1500
242,iszcbmrv@nittybiz.com,2117,0zoen0kf@nittybiz.com,2004/2/22,1,4250
245,k1na0550@nittybiz.com,1248,f14eglmi@nittybiz.com,2004/6/20,2,40
250,03vth6xl@nittybiz.com,2545,c615olop@nittybiz.com,2001/2/22,1,12
271,pzco8swc@nittybiz.com,16,qgkruapd@nittybiz.com,2006/12/21,1,3300
301,z5sf047n@nittybiz.com,253,4vuelph3@nittybiz.com,2005/12/20,2,140
300,gpnpmjys@nittybiz.com,1062,zyigu8z3@nittybiz.com,2008/4/20,1,198
289,se6zwv48@nittybiz.com,1326,83pdrc81@nittybiz.com,2007/7/21,1,380
340,cgnx1666@nittybiz.com,215,03a5v8cw@nittybiz.com,2007/7/22,3,450
355,gyroj97m@nittybiz.com,1625,0rgyjywm@nittybiz.com,2005/4/22,1,105
360,gjpne4l7@nittybiz.com,1913,8flue010@nittybiz.com,2005/3/21,1,175
365,53ibhrpk@nittybiz.com,2345,qzse01dn@nittybiz.com,2005/3/22,2,400
444,tmujyv7z@nittybiz.com,1251,tkxmybp3@nittybiz.com,2010/10/20,1,760
450,pcj3q4nm@nittybiz.com,72,b3ru2xoj@nittybiz.com,2011/5/21,2,80
455,6t2a4ebn@nittybiz.com,1673,ehp5jbq3@nittybiz.com,2011/5/22,2,80
459,m9d7qfi8@nittybiz.com,813,xyidyrgj@nittybiz.com,2011/5/23,3,450
480,3gtu2ycm@nittybiz.com,238,6fdovzd1@nittybiz.com,2010/5/22,1,75
483,yqstubm4@nittybiz.com,84,151cj6uf@nittybiz.com,2010/5/23,2,300
490,6xx8uvkk@nittybiz.com,717,q4hwbuzv@nittybiz.com,2004/12/21,1,25
500,or3q1o16@nittybiz.com,1,i5zgygeb@nittybiz.com,2003/6/19,1,3400
