Seller_Email,Listing_ID,Category,Product_Title,Product_Name,Product_Description,Quantity,Product_Price,Status
ztolk7z1@nittybiz.com,747,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,5,$50 ,1
1ljtsmss@nittybiz.com,2513,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,5,$50 ,1
cyppq1hn@nittybiz.com,741,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,5,$145 ,1
dcjdw3qn@nittybiz.com,2505,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,5,$145 ,1
gfwebr11@nittybiz.com,786,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,2,$80 ,1
4tqzty9s@nittybiz.com,810,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,5,$200 ,1
zwwx3vij@nittybiz.com,849,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,4,$160 ,1
1ylr2fnq@nittybiz.com,870,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,3,$120 ,1
v8tt56g4@nittybiz.com,885,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,2,$80 ,1
de6yq1u8@nittybiz.com,909,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,3,$120 ,1
zvpntdr2@nittybiz.com,915,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,5,$200 ,0
3v694bnh@nittybiz.com,1065,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,3,$120 ,1
45utmgbl@nittybiz.com,1125,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,5,$200 ,1
6aunogko@nittybiz.com,1146,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,1,$40 ,1
59fnz3q8@nittybiz.com,1401,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,5,$200 ,1
9jon2o3m@nittybiz.com,2565,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,2,$80 ,1
bkdv6bkm@nittybiz.com,2597,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,5,$200 ,1
6ukxsosp@nittybiz.com,2,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,2,$40 ,1
dgthm6hl@nittybiz.com,31,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,$60 ,1
zojf0nm8@nittybiz.com,44,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,$100 ,1
4ri5qo3a@nittybiz.com,61,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
oz8bjl6h@nittybiz.com,102,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,$75 ,1
e868bfv6@nittybiz.com,104,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,$30 ,1
379vpw5z@nittybiz.com,113,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
p0a3s2qt@nittybiz.com,154,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
cphemvde@nittybiz.com,229,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,$45 ,1
913uhuo1@nittybiz.com,263,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,$15 ,1
rv163xs1@nittybiz.com,294,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,4,$80 ,1
19jwlilz@nittybiz.com,589,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,$45 ,1
b5oqhnp1@nittybiz.com,855,Beauty Products,Satin and Lace Bathrobe,Lotus SuperProtector Sunscreen,Sunscreen,5,$125 ,1
6c4itc5r@nittybiz.com,900,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,4,$80 ,1
wcp7wwbz@nittybiz.com,1080,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
qn2f1kxn@nittybiz.com,1221,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,1,$20 ,1
45xv0vdh@nittybiz.com,1242,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,$75 ,1
w19jb37p@nittybiz.com,1272,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,3,$60 ,1
q49hhbe5@nittybiz.com,1332,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
0k3lk8de@nittybiz.com,1725,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,$15 ,1
iyw0sh5a@nittybiz.com,1833,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,$30 ,1
awc3z15v@nittybiz.com,1993,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,$75 ,1
all72uvt@nittybiz.com,2005,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,$60 ,1
rlh3kprv@nittybiz.com,2049,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
fksyyib1@nittybiz.com,2141,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,$45 ,1
5l64jh76@nittybiz.com,2213,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
d0iypbw6@nittybiz.com,2265,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,$100 ,1
eg5aq46k@nittybiz.com,2269,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,$45 ,1
clraetze@nittybiz.com,2313,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,4,$80 ,1
sh9sfkik@nittybiz.com,2401,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,$20 ,1
89vn2ab6@nittybiz.com,2417,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,$100 ,1
97tnobrn@nittybiz.com,777,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,4,$140 ,1
f2km9vys@nittybiz.com,2553,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,4,$140 ,1
mj5ph3ae@nittybiz.com,19,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,$600 ,1
4cvc3lhy@nittybiz.com,24,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,$480 ,1
