email,business_name,Business_Address_ID,bank_routing_number,bank_account_number,balance
ztolk7z1@nittybiz.com,The Mystic Feast,5509e7442a534b308d6d2a8ec0a094f5,0011-4959-0,31923667,195263
1ljtsmss@nittybiz.com,Heritage Bar,bd54430fa3344309954d319efa9a412c,0011-4959-0,39569244,965663
cyppq1hn@nittybiz.com,Radiant Corner,ef24357360564a319f8a5b9cdd909d91,0011-4959-0,23574215,147512
dcjdw3qn@nittybiz.com,Table Inc,86837eb856e149f08bd15e81fc49f5da,0011-4959-0,35390965,762084
gfwebr11@nittybiz.com,Cafe Enterprises,19c3329a8f3a49b1b421410b96e7372a,0011-4959-0,35256888,58252
4tqzty9s@nittybiz.com,The Radiant Terrace,f2b7bd1f3660423da03e33b969f0cd6a,0011-4959-0,58649442,219747
zwwx3vij@nittybiz.com,Trendy Diner,7816fa42e5954aaa963fc6c6269f88da,0011-4959-0,20682415,697018
1ylr2fnq@nittybiz.com,Modern & Modern Stove,e626b3229c814c3d93487e5bf36b3801,0011-4959-0,11818292,920089
v8tt56g4@nittybiz.com,Canteen & Cafe,ca8150b26dca44e288c66897ea4adcd4,0011-4959-0,24213146,150282
de6yq1u8@nittybiz.com,Hub Group,377f6fd85d3c476f9d34227a5fbcac1d,0011-4959-0,80358214,352859
zvpntdr2@nittybiz.com,The Innovative Cellar,66d12cfd2dd940b4957e38494b2ebe8e,0011-4959-0,45962356,677138
3v694bnh@nittybiz.com,Radiant Garden,59e7775176f04aafa64856625d0951cb,0011-4959-0,59972921,157588
45utmgbl@nittybiz.com,Legacy Bakery,fa938f14426b4a6b97b3450f1230bafa,0011-4959-0,15779008,550312
6aunogko@nittybiz.com,Mart & Delight,5773c4f9bafb44cdb8547ef23f8f3c21,0011-4959-0,99662797,144374
59fnz3q8@nittybiz.com,The Blue Chophouse,d78fa8a7a8ff460498f77af3ed98f5b2,0011-4959-0,11394287,529283
9jon2o3m@nittybiz.com,The Radiant Stove,9cf44225b9684b5badad2f43295603b4,0011-4959-0,97123314,346432
bkdv6bkm@nittybiz.com,Charming & Delightful Canteen,b00d2b1e00ba4be595924ea11326d6d2,0011-4959-0,59170012,153670
6ukxsosp@nittybiz.com,Peaceful Pub,0a22249a39aa454791b37d8f85d8944c,0011-4959-0,48941864,470541
dgthm6hl@nittybiz.com,Vibrant Lounge,37ddab15d2274a73b4172c1a9c441fa0,0011-4959-0,39317553,513259
zojf0nm8@nittybiz.com,Radiant & Happy Emporium,e8111bc60dd4442fab81549d46e4b51c,0011-4959-0,81042836,885490
4ri5qo3a@nittybiz.com,New Barbecue,707920da7263467e8eb8ad6867b9ca95,0011-4959-0,72473299,462525
oz8bjl6h@nittybiz.com,Shop Solutions,631f2be8651346c1bea03f090f2fda08,0011-4959-0,87104824,168507
e868bfv6@nittybiz.com,The Majestic Restaurant,39607055c2164543868dcfcc7676d2c3,0011-4959-0,73981542,39149
379vpw5z@nittybiz.com,Modern & Sleek Fork,bcf926d846734928b387bae6ba51a717,0011-4959-0,69334799,194857
p0a3s2qt@nittybiz.com,Garden Solutions,b57b058861b940cc878c17c72ac2d97b,0011-4959-0,85678344,374464
cphemvde@nittybiz.com,Mart Associates,5f5132a7440f4458b429c5dc3026a33e,0011-4959-0,31786159,31138
913uhuo1@nittybiz.com,Diner & Chophouse,c4da7a87ae0b457f9a468ab35c66a064,0011-4959-0,99008088,372277
rv163xs1@nittybiz.com,The Prime Chophouse,a0a5bca42af947ef8359c108065a6b3a,0011-4959-0,75725876,875783
19jwlilz@nittybiz.com,New & Grand Table,ec60e5b8ff7347ebaf5c1a86e2c74187,0011-4959-0,75433739,887123
b5oqhnp1@nittybiz.com,Elegant & Sleek Feast,77c31b7620e84e5d980d4be06097f32b,0011-4959-0,82733575,270843
6c4itc5r@nittybiz.com,Heritage Grill,25d16ef22d9c46578841333cdf547f43,0011-4959-0,74688387,37520
wcp7wwbz@nittybiz.com,Vibrant Center,e9ed5a2b48f5429bb32ae9b60312bc60,0011-4959-0,15411337,327309
qn2f1kxn@nittybiz.com,Elegant & Blue Buffet,4cc5b3f4b066493caa93e424caa23189,0011-4959-0,62696976,917759
45xv0vdh@nittybiz.com,Majestic & Classic Express,c02a1e50c9e54b32b6b0e92b7f05414e,0011-4959-0,80179144,504362
w19jb37p@nittybiz.com,Cafe Associates,a17c55d69f69425bb6e749ef2288eb99,0011-4959-0,28324190,493497
q49hhbe5@nittybiz.com,Innovative & Majestic Hub,50fd81c7a9b94139ae06990fca1862b3,0011-4959-0,18183075,47552
0k3lk8de@nittybiz.com,Delight & Pizzeria,7bd705188f944e02b05b421f58afa401,0011-4959-0,85584567,103256
iyw0sh5a@nittybiz.com,Modern & Vibrant Plaza,b72ab3ab49134cc7a77515bb2d4286a0,0011-4959-0,76946752,24045
awc3z15v@nittybiz.com,Retreat & Eatery,5272ba8bfec54c8db5f5bf39211de07e,0011-4959-0,96352171,702588
all72uvt@nittybiz.com,House & Bar,38219d19f3f9401987b22d8d06c36dfe,0011-4959-0,91868804,551177
rlh3kprv@nittybiz.com,Inn & Griddle,ab8665e49eda4823968bddcda5a82f8e,0011-4959-0,80367377,421223
fksyyib1@nittybiz.com,Delightful & Reliable Cafe,a7473144efb1423da745ca852eb42952,0011-4959-0,43061349,773449
5l64jh76@nittybiz.com,Delightful & Brilliant Table,bc95abd38f634f8c9d47cbb7b1de896c,0011-4959-0,74734914,606721
d0iypbw6@nittybiz.com,The Blue Griddle,baea80adcff1432091c3dba3d1988f66,0011-4959-0,29985937,304019
eg5aq46k@nittybiz.com,Reliable Canteen,b4bacf8503a84d4d95c7a93bcba01d6b,0011-4959-0,80010792,99947
clraetze@nittybiz.com,The Creative Garden,9056b1f8b394492199dd222e7f4e4407,0011-4959-0,30890692,651086
sh9sfkik@nittybiz.com,The Sunny Restaurant,05b933f448d1469a8bc961ed294f14c0,0011-4959-0,57354762,304635
89vn2ab6@nittybiz.com,Royal Retreat,0dcfec1f9a994694aafa45ccd3930f32,0011-4959-0,66956306,256552
97tnobrn@nittybiz.com,Innovative & Superior Parlor,bf34215a239641dda8f14596ed1d666f,0011-4959-0,31383318,698348
f2km9vys@nittybiz.com,Eatery & Chophouse,03ab1cd90a86443ab67fe72ffbe61011,0011-4959-0,47497080,385296
mj5ph3ae@nittybiz.com,Sunny & Delightful Buffet,1131e8937af146b696b890290be39734,0011-4959-0,87758233,463309
4cvc3lhy@nittybiz.com,Hub & Garden,658a4b552f9f4d24bb0a960a26111fda,0011-4959-0,41832799,905084
mdhr46fg@nittybiz.com,Mystic House,837005a10f3c45128526ad8aea410bb6,0011-4959-0,81456186,967558
9yari9cy@nittybiz.com,The Modern House,f13464fdf3ef4fd681519a59a973ee3e,0011-4959-0,24252963,811594
9wq5qak7@nittybiz.com,Fork & Spot,50d6666d876446459bd383fd99e02da0,0011-4959-0,22647286,785121
nga0qt9n@nittybiz.com,Elegant & Urban Fork,849039b1901548e8acdadea01d0f10b8,0011-4959-0,42382655,10949
bxrg4p68@nittybiz.com,Imperial Chophouse,85ab14d5375d4a4db04ed6de5cc2e04a,0011-4959-0,47702202,107361
ixte3esg@nittybiz.com,Superior Restaurant,ab58ef2e00a448b9954c4588b4672e6d,0011-4959-0,33733372,203627
uatpfu00@nittybiz.com,The Grand Spoon,ec3de0d57e744bb49ea492c3b6a1b528,0011-4959-0,48019151,524396
ihaqa4ao@nittybiz.com,The Superior Shop,9ff431eb97be470296974d44540a6ab2,0011-4959-0,84707706,388094
83znfeit@nittybiz.com,Elite Fork,738a60d8060b4b38b994904371b6bc65,0011-4959-0,97649063,714491
l79d4vvc@nittybiz.com,Active & Delightful Lounge,da71d318ac3647a7843a081eef7722aa,0011-4959-0,43929474,487003
rns0p9wi@nittybiz.com,Spot & Oven,37f4612a6b474a709eaf033475c5a0df,0011-4959-0,85827656,538991
1vqeztg8@nittybiz.com,Noble Station,4e928605d3634c0fba133b7f2e060079,0011-4959-0,31282435,117037
huuto42q@nittybiz.com,Active Inn,1515cf488eb24eee86da64d863af970a,0011-4959-0,93226877,436657
b2ayk7c3@nittybiz.com,Diner & Buffet,9fabb90c1cc14c84ba3f8c43561a8f73,0011-4959-0,87666532,920803
yrqja0yj@nittybiz.com,Innovative & Innovative Eatery,3f43d7c0141e41bc90bf5dda9297df2b,0011-4959-0,42269937,23276
5ghq3k3x@nittybiz.com,Restaurant & Express,9cf87ba56c39425ab729983aeb0e318b,0011-4959-0,47564782,212022
ovy1j61u@nittybiz.com,New & Swift Chophouse,e698971c8b724d5d8b0f8fa93835510d,0011-4959-0,40798945,216420
zi9vgbzq@nittybiz.com,Imperial & Creative Mart,567bed467ff949849382c35bdfeac4a7,0011-4959-0,33948942,465075
r7ezudxl@nittybiz.com,Radiant & Radiant Bistro,862efbac55af479fb035208c737112a9,0011-4959-0,25870036,584147
vp0aljzr@nittybiz.com,Reliable Mart,25c3eac395174341b78d6894273444a2,0011-4959-0,57005233,954144
52pg6bnu@nittybiz.com,Fork & Grill,0c74098a66a3473c8f11620af2f979f1,0011-4959-0,71739202,933314
pt7ut8rp@nittybiz.com,Brewery & Barbecue,722bafb3d8cc4cc1a4c002cd2c5775b9,0011-4959-0,74180849,793834
654wn1b1@nittybiz.com,Elite & Classic Buffet,ec0678c429514fb4a5cc916ad6a4c4e9,0011-4959-0,30562614,296895
n5l2msvz@nittybiz.com,Vibrant & Trendy Spot,a5494f7cacf446a1848675323cb90d44,0011-4959-0,92625854,614763
1o5ufd2t@nittybiz.com,Legacy Bistro,46380374d15c4870adf0cebb0df9428c,0011-4959-0,37342905,399756
55hn4lyr@nittybiz.com,Roost & Market,ef858324687546f3814ab19d14e413d8,0011-4959-0,10699368,167943
pftki64o@nittybiz.com,Pizzeria & Station,937df0560eaa45818ba9f15679e7b1f1,0011-4959-0,19535553,461180
ki074wlw@nittybiz.com,Grand Chophouse,7b3aee7978194c748b9762cbefd4f1b9,0011-4959-0,25249472,550148
yb5sveah@nittybiz.com,Tavern & Gallery,9d305374be6d410ab6a9b49231631e9c,0011-4959-0,58703085,895556
jo54pxwe@nittybiz.com,Market & Feast,93e45187623d4ee0a6ad74297e62a5b1,0011-4959-0,77470014,304873
h9ntiv5v@nittybiz.com,Pizzeria Co,a184c6a13c83493cba318ed50f839b84,0011-4959-0,38424261,203044
bzessnyb@nittybiz.com,Modern & Classic Spoon,95a880628f574754ba12620b87513cbf,0011-4959-0,51317643,784982
rv43jxjb@nittybiz.com,Vibrant Express,45512a6bbdcf4981a50480b5009661f4,0011-4959-0,28901371,446075
m9s0dx9r@nittybiz.com,Diner & Lounge,30725fbd3ed149d0b10cf0be58026f49,0011-4959-0,35358735,769447
2qltm9jk@nittybiz.com,Innovative & Delightful Station,6e066650c183449cb26fdb442539a9d2,0011-4959-0,74422220,273792
24wucbwz@nittybiz.com,The Blue Hub,953f476e12154e46aa983d525b599f6f,0011-4959-0,57019906,991910
19y4kegq@nittybiz.com,Golden Feast,53df8878875946c79bfced6e35c23c56,0011-4959-0,66076629,84652
i69a44tz@nittybiz.com,Rustic & Mystic Chophouse,72abe0d7286046749378656e4ccd2c1b,0011-4959-0,23193347,337257
asexiifs@nittybiz.com,Parlor & Chophouse,1ef3f29929a644de94ac68c645a7e362,0011-4959-0,17565072,600262
qh840yvn@nittybiz.com,Imperial & Elite Roost,458ef8806d8c42c296ac5d58f770122a,0011-4959-0,19227503,590815
lrgq1l9l@nittybiz.com,Rustic & Modern Grill,d4ef5ceb9c2243c68394207783560aee,0011-4959-0,64138851,154037
qu8mbx76@nittybiz.com,Trendy Center,918cf589704c4ea6a79e56a22aab65b6,0011-4959-0,95444292,113123
iufyuw93@nittybiz.com,Noble Barbecue,619a9b3462ab4c829b29809e9c9bee91,0011-4959-0,25150607,835367
48pwkn2e@nittybiz.com,The Urban Express,a043af67abbf4a0b885c66a7ace193f7,0011-4959-0,52547650,746375
w69sbaj2@nittybiz.com,Terrace & Buffet,444d21bd8a174417addb3b6df6bae9e8,0011-4959-0,91921519,795332
uzk6g8ao@nittybiz.com,Elegant & Radiant Center,f57eeea5dc4b4eb686658facd5e9c9c0,0011-4959-0,57590924,685629
9boe3o31@nittybiz.com,The Sleek Bistro,ff6fa99dd1634b0e83def8b48b24d494,0011-4959-0,93831077,448209
9lmgsw7b@nittybiz.com,The Bright Bistro,5f1da4209aea4d95bb40891a55bcd14a,0011-4959-0,33857217,12499
zm30rl9n@nittybiz.com,Imperial & Swift Pizzeria,2ca7f32c02764f9dbcf03a01d61b75d7,0710-4743-1,76583268,803549
ij78s1vy@nittybiz.com,Delightful & Majestic Pizzeria,231571fdad5e4b77bf21bf4b7a1e8d62,0710-4743-1,15765782,476799
i6sr9m8v@nittybiz.com,The Active Parlor,81e0a9e64127427698fd649c668aa1f6,0710-4743-1,18253254,675285
dgtqav71@nittybiz.com,Happy Shop,fe759bff6a634c0d8b7372eb10c2dc9b,0710-4743-1,47718895,10608
u369pvn9@nittybiz.com,The Royal Kitchen,ac6be8435100444b8ff472a58652e52c,0710-4743-1,80044302,462831
pcgbwkld@nittybiz.com,Fork Inc,42e71fd189074188a9af29bcd26d2bf4,0710-4743-1,86432367,402555
0rk45g5r@nittybiz.com,The Majestic Mart,c17ee9c1f273419e8d1020dc03c87fa8,0710-4743-1,63791992,476162
woxvc7d2@nittybiz.com,Superior & Reliable Bar,979fa34288424cfd806fdad0ed2fa812,0710-4743-1,42438300,880025
n9gn4a01@nittybiz.com,Majestic & Cozy Corner,fd8977e15f9044a891ed0865e41a7884,0710-4743-1,92062158,731425
l7l5llvj@nittybiz.com,The Mystic Inn,d7b0ffe964184c06b55f9787a4b375d8,0710-4743-1,54053868,323993
vjj2kgza@nittybiz.com,Classic & Charming Lounge,a1fe237838644ba7aed9813a96b62b6a,0710-4743-1,16168687,320383
ofbh85yv@nittybiz.com,The Superior Eatery,392c21833ba34e62bbe749305cfcaff8,0710-4743-1,92310940,403084
dwvg8hjn@nittybiz.com,Kitchen & Kitchen,1f0aab22fce741c4b3cd8d6feee8b210,0710-4743-1,84623717,421423
1og4e531@nittybiz.com,Reliable Market,f607e8103c5e49779e045d69251e1496,0710-4743-1,48437708,796095
ab2yr5ue@nittybiz.com,Lounge & Pizzeria,b9d43674d2f446ca8b01e716cb42a303,0710-4743-1,56315337,637825
2mefi8tm@nittybiz.com,Lively & Grand Buffet,aac2a01a14974fb385f0f3c9472ddfb7,0710-4743-1,55843654,95370
uv1emfni@nittybiz.com,New Corner,59f2f1c429a34126930fe3d9babe8233,0710-4743-1,15302122,331206
k34n4a9o@nittybiz.com,The Lively Feast,867eebc0fd0341a48a3a4a63f7450368,0710-4743-1,32341196,938707
qah6k4x7@nittybiz.com,Legacy Terrace,00f23695437c46b8af549cfe225ced07,0710-4743-1,31603320,778084
2nkoge7g@nittybiz.com,Sunny & Peaceful Oven,49b053359e1245b1a12d9636f012e7e9,0710-4743-1,76248123,974211
qedoqhcp@nittybiz.com,The Legacy Oven,bf9a719a0f2747aeaa66e187a4f294c7,0710-4743-1,85847210,247277
dp1tjim1@nittybiz.com,Golden Lounge,6f68319b81464ea681464220ea8a2083,0710-4743-1,65367928,257170
ieeqwv0c@nittybiz.com,Swift & Active Cellar,b53f830f3df44630a71c982bacac4f92,0710-4743-1,22466777,654566
g1cyp1nl@nittybiz.com,Creative Cafe,ca06f4a0cefc4f5da1f949c28d920823,0710-4743-1,15776383,723527
kmquv8ak@nittybiz.com,Roost & Restaurant,2e02f85474ed4d7a838c13c290001c2c,0710-4743-1,34142773,330885
395v00cw@nittybiz.com,Spot & Station,29b6ed9370ca45b89811aa584baa4069,0710-4743-1,86769953,298027
f34xjdg6@nittybiz.com,Reliable Corner,405c376829fe42e398dc489c8b605af7,0710-4743-1,60279015,794987
jpdefout@nittybiz.com,Peaceful & Radiant Griddle,c6a85d00e7fb4fd79d463ec81fd59dd5,0710-4743-1,64458467,602004
bp4w4zjm@nittybiz.com,Bright & Royal Market,789b29c7dd944211bb2f674c08ac12c1,0710-4743-1,71212838,797137
u3vw7ex0@nittybiz.com,Stove & Gallery,4d728b8ec7924447853fd939458bc845,0710-4743-1,41803696,41356
d98zl68g@nittybiz.com,Creative Lounge,23790b8c7caf453c850c5cbf8ebd51c9,0710-4743-1,78241855,74217
tqqwe4xh@nittybiz.com,Imperial Oven,95f5d09e2aa14c389680366bcd64cc35,0710-4743-1,53617341,518786
lcaem61i@nittybiz.com,Radiant & Prosperous House,91a0743ab27c47e7b9e1513c96da0939,0710-4743-1,32674737,10001
7fdlxodu@nittybiz.com,Garden & Diner,a82121b32c4e4f67aa24abdfe446c7aa,0710-4743-1,57169785,316798
rw8p0pnw@nittybiz.com,Emporium LLC,ddec2dca84ac4a1ea48d4dd2768a974d,0710-4743-1,22272231,436863
bimwjgq3@nittybiz.com,Mystic Station,374271eb4246467798bcbb8560996c5a,0710-4743-1,79553917,450835
rinqojle@nittybiz.com,Mart & Spot,1e3a5b890061407184c768a77ee12318,0710-4743-1,43278664,410321
tsdo7hv4@nittybiz.com,Reliable Shop,c7e31508964a42328a9db6dcdea5ae3d,0710-4743-1,68118046,971057
nwecxcb7@nittybiz.com,Urban & Blue Express,8197393425f242c3933b256191f8f96f,0710-4743-1,95732862,932087
tsnxlsyw@nittybiz.com,Innovative & Imperial Mart,f4755aad50374a828499f5cbad044ffd,0710-4743-1,24069996,775441
byvq0g8k@nittybiz.com,Lively & Happy Canteen,0e27795eaf6b4ebfa0cd831f29bb48aa,0710-4743-1,31392793,256640
wlxuqyvu@nittybiz.com,Reliable & Fresh Gallery,a99a7da239fb4893aa1166afb756dc28,0710-4743-1,23473193,678592
wuza1zcf@nittybiz.com,Reliable Terrace,502753799f38487b958379507391b48e,0710-4743-1,25968916,588849
6z3oh8a6@nittybiz.com,Emporium & Inn,9a3dc6efff2c4a4fa48206e0a7b0a401,0710-4743-1,16360340,467261
9ywdxbu5@nittybiz.com,The Superior Canteen,d8a6c8c2831e427fb86b7f78ce40d4c2,0710-4743-1,34891252,950947
5iihankf@nittybiz.com,The Green Parlor,aa2dc8652c01468d82a1ad2ced742962,0710-4743-1,49660436,370968
3extr2b2@nittybiz.com,Express & Griddle,41066fe3a8a1477c959541e2e9e29c31,0710-4743-1,56021997,257109
kf15cfqe@nittybiz.com,Parlor & Parlor,d7c74805392b4c2f9991582c94c98f93,0710-4743-1,39881599,771733
hw7wzesq@nittybiz.com,Kitchen & Chophouse,fdf505ac0dd2445f8371f2e8d9eaff9f,0710-4743-1,11622189,15758
x4x0duut@nittybiz.com,Mart & Oven,50c57f18a74d4068a950e53b21e9e78b,0710-4743-1,69855786,430385
c3cx949v@nittybiz.com,Market Associates,192c2bad10a34a4b8b2b4229cfb5b680,0710-4743-1,28372860,135722
jghgmfjy@nittybiz.com,The Peaceful Lounge,c5d91bb9c82f402690e94a90bca8f27d,0710-4743-1,14540696,719864
hratv2nm@nittybiz.com,Bright Griddle,0999c307ae894518b4eae919c7dac14c,0710-4743-1,33091975,228626
juuw3nqe@nittybiz.com,Feast & Grill,9fef6871cb8b48a493daa3ce1f8dee0d,0710-4743-1,13634903,597313
l0hgkxwi@nittybiz.com,Restaurant Group,b1ef76839ca349adb44171e4891a5cb6,0710-4743-1,30918205,374710
hq8uspu0@nittybiz.com,Royal Corner,60018b820b104b168022dcfe7b2e1c6c,0710-4743-1,70669910,789275
t5ae0edt@nittybiz.com,Imperial & Happy Diner,9b5def9d964441039ae327c74f2cba4a,0710-4743-1,45321186,783092
7p1vxkhd@nittybiz.com,Superior & New Kitchen,065373482c43421cb22ce4373acf545b,0710-4743-1,32212952,411893
uanssq9b@nittybiz.com,Majestic & Majestic Spoon,aac8f7d7ed994986baa73a57f179a674,0710-4743-1,69781335,911725
t2z0u5t8@nittybiz.com,The Noble Feast,043b0c90d19445a8a76f2ccbe57f0d3d,0710-4743-1,89399789,297024
5ujpgi31@nittybiz.com,The Prime House,2664719d30504bc49587bda06b292e87,0710-4743-1,47841558,981483
d2b0rkp1@nittybiz.com,Emporium & Kitchen,fa9dd14507e046888803e03ff54fca3a,0710-4743-1,16197576,337218
gjp9y2ps@nittybiz.com,Delightful Corner,231d488db0144a36a7de551c6eb18fae,0710-4743-1,10183054,414065
6kaymyog@nittybiz.com,Green Delight,075cb8c678ae4dca833e67f14595f3bd,0710-4743-1,44290192,475806
q4mas89d@nittybiz.com,Center & Station,622d7ff72f704808b76ed857b03cc6f5,0710-4743-1,56377370,403121
kofnd7uj@nittybiz.com,Dynamic & Grand Delight,2284a40c4d92437da2843193e94ee093,0710-4743-1,38247261,73673
ca2eq3j6@nittybiz.com,Royal Parlor,8f244c7233d0419d92e1cdb85aa3459d,0710-4743-1,79233507,84784
pgjm8gbd@nittybiz.com,Reliable Hub,36dcda7dc2244829bf2c095a51a46068,0710-4743-1,29321565,145615
shfez27r@nittybiz.com,The Radiant Barbecue,7ac9d3c5730640608c70ff0459390dc3,0710-4743-1,11592080,801212
8wfniimf@nittybiz.com,Classic Spoon,d48598288c4248428260f89f222af4c2,0710-4743-1,27881669,721030
24mqhvfs@nittybiz.com,Peaceful & Noble Griddle,4d501656173046e38fd6834e5d6eded0,0710-4743-1,85008511,143045
gk8bhop2@nittybiz.com,The Blue Mart,7bb1fd889f0243f58f5c862d7cced1b5,0710-4743-1,66789341,303035
cez0lquy@nittybiz.com,The Dynamic Restaurant,ebb71315cce64c8da4431526f51c70fc,0710-4743-1,95987580,698476
y4mjdnzi@nittybiz.com,Charming & Happy Delight,ff5a393dc4d1408faf1f762d9a97c91f,0710-4743-1,26292267,975128
na4zoyex@nittybiz.com,Superior Roost,9ceb6d6dd6b34486a3aee6d65b0b3cd2,0710-4743-1,33246428,867048
tp4inh1t@nittybiz.com,The Green Diner,bce640caafb44cef846b2803ebd17386,0710-4743-1,15191620,191733
9g1lrjk0@nittybiz.com,Prosperous & Delightful Bistro,52a34a75bef2445493370dd186075813,0710-4743-1,65343173,440735
0h9mx93c@nittybiz.com,Market LLC,9e87a97fc80a40aeab439d4ac3a4af79,0710-4743-1,29217797,227808
2k89pqb9@nittybiz.com,Sleek Table,edcba56118f54182a07ece7487079d23,0710-4743-1,10907469,249357
zabe9967@nittybiz.com,Active Roost,39e904900da3495abc3cc5f8dcad55a1,0710-4743-1,41623212,608048
